"content_id","content_type_id","title","latitude","longitude"
125531,12,"용주사(화성)",37.21213749,127.005098
125532,12,"백련사(강화)",37.75102592,126.4372848
125533,12,"보문사(강화)",37.68834231,126.3209694
125534,12,"강화 전등사",37.63169342,126.4829145
125535,12,"청룡사(안성)",36.91363814,127.2888362
125536,12,"칠장사(안성)",37.02640486,127.396615
125537,12,"용문사(용문산)",37.5502169,127.5709926
125538,12,"현등사(가평)",37.87058637,127.3309246
125539,12,"상원사(용문산)",37.54856399,127.5530887
125540,12,"연천 숭의전지",38.02376753,126.9730251
125541,12,"천진암 성지",37.42441416,127.3827939
125542,12,"대동법시행기념비",36.98613794,127.1238185
125543,12,"제암리 3.1운동 순국기념관",37.12615655,126.8922134
125544,12,"김포 문수산성",37.71733429,126.5315771
125545,12,"구리 동구릉 [유네스코 세계문화유산]",37.61899813,127.1318056
125546,12,"남양주 광릉(세조,정희왕후) [유네스코 세계문화유산]",37.75283338,127.1767421
125547,12,"권율장군묘",37.73358429,126.949605
125548,12,"남양주 홍릉(고종과 명성황후)과 유릉(순종과 순명,순정 황후) [유네스코 세계문화유산]",37.63155642,127.2096231
125549,12,"고양 벽제관지",37.7042646,126.9003437
125550,12,"북한산성",37.64576439,126.9738386
125551,12,"고양 서삼릉(장경왕후) [유네스코 세계문화유산]",37.66399094,126.8685255
125552,12,"고양 서오릉 [유네스코 세계문화유산]",37.62361011,126.900782
125553,12,"파주 윤관장군묘",37.76772029,126.8552766
125554,12,"유엔군 초전기념비",37.18378601,127.0498447
125555,12,"수원 화성 [유네스코 세계문화유산]",37.28735113,127.0121147
125556,12,"처인성",37.14771175,127.1686183
125557,12,"화산서원(포천)",37.84188688,127.1756479
125558,12,"김포향교",37.6247288,126.7099244
125559,12,"남이장군묘 (화성)",37.24851076,126.8317266
125560,12,"정약용선생묘",37.51624921,127.2990766
125561,12,"인천향교",37.43936383,126.6868012
125562,12,"행주산성",37.59612031,126.8264702
125563,12,"강화향교",37.75372634,126.4786892
125564,12,"강화산성",37.75604005,126.483897
125565,12,"강화 고인돌 유적 [유네스코 세계문화유산]",37.77343442,126.437473
125566,12,"강화 홍릉",37.74256583,126.439307
125567,12,"강화전적지",37.7335599,126.5160197
125568,12,"설봉산",37.28131461,127.4134841
125569,12,"양평군 함왕성지",37.54761092,127.5313324
125571,12,"서운산성",36.92874434,127.2668267
125572,12,"안성향교",37.00552999,127.2700714
125573,12,"여주 영릉(英陵)세종대왕)과 영릉(寧陵)효종,인선왕후) [유네스코 세계문화유산]",37.30602634,127.6038995
125574,12,"영월루",37.29447014,127.6476764
